1,"! RT  boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!"
1,"! RT  Dawg! RT  You ever fuck a bitch and she start to cry? You be confused as shit"
1,"! RT   she look like a tranny"
1,"! RT  The shit you hear about me might be true or it might be faker than the bitch who told it to ya "
1,"!The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes!"
1,"!I can not just sit up and HATE on another bitch .. I got too much shit going on!"
1,"! cause I'm tired of you big bitches coming for us skinny girls!"
1," you might not get ya bitch back  thats that"
1," :hobbies include: fighting Mariam

bitch"
1,"Keeks is a bitch she curves everyone lol I walked into a conversation like this. Smh"
1,"Murda Gang bitch its Gang Land"
1,"So hoes that smoke are losers ? yea ... go on IG"
1,"bad bitches is the only thing that i like"
1,"bitch get up off me"
1,"bitch nigga miss me with it"
1,"bitch plz whatever"
1,"bitch who do you love"
1,"bitches get cut off everyday B"
1,"black bottle  a bad bitch"
1,"broke bitch cant tell me nothing"
1,"cancel that bitch like Nino"
1,"cant you see these hoes wont change"
1,"fuck no that bitch dont even suck dick  the Kermit videos bout to fuck IG up"
1,"got ya bitch tip toeing on my hardwood floors  "
1,"her pussy lips like Heaven doors "
1,"hoe what its hitting for"
1,"i met that pussy on Ocean Dr . i gave that pussy a pill "
1,"i need a trippy bitch who fuck on Hennessy"
1,"i spend my money how i want bitch its my business"
1,"i txt my old bitch my new bitch pussy wetter"
1,"i'd say im back to the old me but my old bitches would get excited "
1,"if you aint bout that Murder Game pussy nigga shut up"
1,"if you're toes ain't done you pussy stinks"
1,"im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that"
1,"is that ya bitch"
1,"it aint nothing to cut a bitch off"
1,"jus meet son now he ya mane ass bitches #Shots"
1,"lames crying over hoes thats tears of a clown"
1,"like Snoop said in 94 we dont love these hoes"
0,"momma said no pussy cats inside my doghouse"
1,"most hated but the hoes favorite #2MW #SevenOne # "
1,"nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"
1,"pimps up pimps up hoes down Future voice"
1,"post a picture of that pussy get 200 likes"
1,"pussy is a powerful drug  #HappyHumpDay "
1,"quick piece of pussy call it a drive by"
1,"running round here like some brand new pussy thats bout to get fucked"
1,"these bitches even worst they'll send them guys for you"
1,"these hoes like niggas that spend money not talk bout it"
1,"we dont trust these niggas all these bitches"
1,"yall niggas b cuffing hoes cause yall aint never have bitches"
1,"you dodge a bullet  All da bitches I cut off pregnant or bound to be ....thank God"
1,"young Pill Chamberlain these bitches love my music"
1,"Teanna Trump probably cleaner than most of these twitter hoes but........."
1,"Gay niggas couldn't wait to act like bitches tonight"
1,"And ima steal his cat n replace it with a pitbull  RT   He a bitch you should do it"
1," he's gone always be a hoe"
1,"...Son of a bitch took my Tic Tacs.

I like this movie."
1,"..All I wanna do is get money and fuck model bitches!- Russell Simmons"
1,"I probably wouldnt mind school as much if we didnt have to deal with bitch ass teachers. Retweet"
1,"I'm a fucking fag they said"
1,"Females think dating a pussy is cute now? how does doing this stuff make him a pussy?"
0,"-SimplyAddictedToGuys woof woof hot scally lad"
1,"Have ya ever asked your bitch for other bitches - kanye voiceYes"
1,"How u gone bring ur side bitch to a game where You know Ya gf friends at ?! I SWEAR!"
0,"woof woof and hot soles"
0,"Lemmie eat a Oreo  do these dishes.One oreo? Lol"
1,"  bitch fuck u maybe you'll get better. Just "
1,"Fuck Red Malone man bitch ass niggahcould you please use complete sentences?"
0,"Why the eggplant emoji doe?y he say she looked like scream lmao"
1,"Hennessey Venom GT  that's one sexy bitch"
1,"Him seh me pussy wetter then a shower curtain....#ahmesehwetnesslmao!"
1,"#Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit"
1,"Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life 
"
0,"baby monkey bathtime 
Awwwwe! This is soooo ADORABLE!"
1," I ain't shit .Damn Skippy lol"
1,"u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussyNo bs must b 30%chance"
1," 0 rings 0 mvps 0 bitches lol"
1,"ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !"
1,"The facts on tattoos...tattoo he's a pussy with not tattooing them nipples"
1," RT  Bitches be wanting to act like niggas so bad  that shit aint cuteeeeebut niggas act like bitches.."
1,"Get worshiping bitch! woof woof"
1,"Wow. RT  I'm lost. Are those buttcheek piercings? yeah she's a hoe"
1,"Ok, sis.She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her"
1,"  queergaywad"
1," faggot read my tweets after dat kit wasn't even funny lol"
1,"This bitch was so ungrateful fr ..... LULWHORE"
1,"I been kidnapped yo bitch"
1," alsarabssshes a beaner smh you can tell hes a mexican"
1," happy birthday nigsThanks yo"
1,"when ur teacher tells u that u have homework this bitch need to go!"
1," that nigga was eating that hoe lolHell Yea lol john Paulnigga said john paul.. "
1,"What would y'all lil ugly bald headed bitches do if they stop making make-up  weave?"
1,"Leafs better win this damn game so I can go riot and shit #EarlyChristmasyou better start looting my nig"
1,"Going back to school sucks more dick than the hoes who attend it."
1,"On my way to fuck yo bitch me as a 9 year old"
1," how come you never bring me foodi dont have a car retard"
1,"If Richnow doesn't show up with hella tinder hoes Im not his friend anymorechill I brought like like 8 prople"
1,"How bout them Cowboys!Shutup pussy"
1,"LMAOOOOOOOOOOO this nigga  bitch want likes for some depressing shit..foh"
1," girl you know I was spitting that G shit to you  you was going lbvsbitch plz"
1,"Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.lmao bitch don't trick me again"
1,"Harlem shake is just an excuse to go full retard for 30 seconds."
1,"amen miley  but she don't need to act like a hoe just bc she'semotionally damagedfoh"
1,"having one loyal female is wayyyyy better than having hoes , idc"
1,"Pussy licking pussy.... meow meow #StopWhitePeople2014  

"
1,"Check out our 12th man. #CowboysNationeven with all those faggot ny fans in the stands"
1,"What happen to them vixen ent bitchesthey got ran and threw to the side like a foothill bitch"
1," im the bitch okay nudes pat wow"
1," you're fucking gay, blacklisted hoeHolding out for #TehGodClan anyway "
1,"The fuck be wrong with these bitches?Nobody knows"
1,"Yall shut up:pmake me bitch"
1,"I hate aI'm pregnanttype of bitch."
1,"Got bitches in the DM but I don't ever read'emwhich is y your top 3"
0,"Baseball season for the win. #YankeesThis is where the love started"
1,"Little stupid as bitch I don't fuck with yoooooouuuu.."
1,"she really asked me that dead ass serious tho, all i could say wasbitch wheetLOL"
0,"I'm an early bird and I'm a night owl, so I'm wise and have worms."
0,"Overdosing on heavy drugs doesn't sound bad tonight.I do that pussy shit every day."
0,"Pit Bulls Photographed As Lovely Fairy Tale Creatures 

They *are* fairy tale creatures."
1," Aw....fag, don't tweetawto me lol"
0,"As long as the Lakers trash from now on, I could careless. And that's real.. CC:  hahaha"
1," I didn't say anything thokiss me then faggot"
0,"this theI play soccer, cheat on girls, and wear khaki coloured cargoshaircut  yup"
1,"I could go for a fat ass bitch on my lapsame"
1,"17 missed calls!Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle"
1,"Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout movinglmmfao "
1," 3 | Amo los pies fuck yeah"
